Run,RunName,WIND_DIRECTION,RELEASE_ALT,RELEASE_MASS,MASS_MEAN_DIAMETER,Fatalities
604,Run_604,120,140,1800,0.00006,562
605,Run_605,120,140,1800,0.00008,547
606,Run_606,120,140,1800,0.0001,546
607,Run_607,120,140,2000,0.00001,686
608,Run_608,120,140,2000,0.00002,708
609,Run_609,120,140,2000,0.00004,678
610,Run_610,120,140,2000,0.00006,690
611,Run_611,120,140,2000,0.00008,678
612,Run_612,120,140,2000,0.0001,664
613,Run_613,120,160,1000,0.00001,72
614,Run_614,120,160,1000,0.00002,64
615,Run_615,120,160,1000,0.00004,67
616,Run_616,120,160,1000,0.00006,65
617,Run_617,120,160,1000,0.00008,64
618,Run_618,120,160,1000,0.0001,63
619,Run_619,120,160,1200,0.00001,206
620,Run_620,120,160,1200,0.00002,196
621,Run_621,120,160,1200,0.00004,202
622,Run_622,120,160,1200,0.00006,194
623,Run_623,120,160,1200,0.00008,191
624,Run_624,120,160,1200,0.0001,192
625,Run_625,120,160,1400,0.00001,359
626,Run_626,120,160,1400,0.00002,354
627,Run_627,120,160,1400,0.00004,374
628,Run_628,120,160,1400,0.00006,354
629,Run_629,120,160,1400,0.00008,350
630,Run_630,120,160,1400,0.0001,338
631,Run_631,120,160,1600,0.00001,488
632,Run_632,120,160,1600,0.00002,464
633,Run_633,120,160,1600,0.00004,468
634,Run_634,120,160,1600,0.00006,446
635,Run_635,120,160,1600,0.00008,456
636,Run_636,120,160,1600,0.0001,430
637,Run_637,120,160,1800,0.00001,616
638,Run_638,120,160,1800,0.00002,616
639,Run_639,120,160,1800,0.00004,621
640,Run_640,120,160,1800,0.00006,621
641,Run_641,120,160,1800,0.00008,582
642,Run_642,120,160,1800,0.0001,575
643,Run_643,120,160,2000,0.00001,716
644,Run_644,120,160,2000,0.00002,711
645,Run_645,120,160,2000,0.00004,721
646,Run_646,120,160,2000,0.00006,736
647,Run_647,120,160,2000,0.00008,680
648,Run_648,120,160,2000,0.0001,690
649,Run_649,120,180,1000,0.00001,38
