Run,RELEASE_ALT,RELEASE_MASS,RunName,Fatalities,MASS_MEAN_DIAMETER,WIND_DIRECTION,Day
3174,180,1000,Run_3174,5,1.00E-04,260,1
3175,180,1200,Run_3175,10,1.00E-05,260,1
3176,180,1200,Run_3176,10,2.00E-05,260,1
3177,180,1200,Run_3177,10,4.00E-05,260,1
3178,180,1200,Run_3178,9,6.00E-05,260,1
3185,180,1400,Run_3185,12,8.00E-05,260,1
3188,180,1600,Run_3188,18,2.00E-05,260,1
3189,180,1600,Run_3189,18,4.00E-05,260,1
3190,180,1600,Run_3190,17,6.00E-05,260,1
3198,180,1800,Run_3198,26,1.00E-04,260,1
3206,200,1000,Run_3206,4,2.00E-05,260,1
3210,200,1000,Run_3210,4,1.00E-04,260,1
3211,200,1200,Run_3211,7,1.00E-05,260,1
3212,200,1200,Run_3212,7,2.00E-05,260,1
3214,200,1200,Run_3214,7,6.00E-05,260,1
3218,200,1400,Run_3218,10,2.00E-05,260,1
3219,200,1400,Run_3219,10,4.00E-05,260,1
3221,200,1400,Run_3221,10,8.00E-05,260,1
3222,200,1400,Run_3222,10,1.00E-04,260,1
3224,200,1600,Run_3224,15,2.00E-05,260,1
3247,0,1200,Run_3247,14,1.00E-05,280,1
3249,0,1200,Run_3249,14,4.00E-05,280,1
3250,0,1200,Run_3250,14,6.00E-05,280,1
3252,0,1200,Run_3252,15,1.00E-04,280,1
3254,0,1400,Run_3254,14,2.00E-05,280,1
3256,0,1400,Run_3256,16,6.00E-05,280,1
3259,0,1600,Run_3259,16,1.00E-05,280,1
3268,0,1800,Run_3268,18,6.00E-05,280,1
3277,20,1000,Run_3277,16,1.00E-05,280,1
3282,20,1000,Run_3282,16,1.00E-04,280,1
3283,20,1200,Run_3283,17,1.00E-05,280,1
3287,20,1200,Run_3287,18,8.00E-05,280,1
3297,20,1600,Run_3297,20,4.00E-05,280,1
3305,20,1800,Run_3305,22,8.00E-05,280,1
3306,20,1800,Run_3306,22,1.00E-04,280,1
3315,40,1000,Run_3315,17,4.00E-05,280,1
3318,40,1000,Run_3318,17,1.00E-04,280,1
3320,40,1200,Run_3320,18,2.00E-05,280,1
3321,40,1200,Run_3321,19,4.00E-05,280,1
3330,40,1400,Run_3330,20,1.00E-04,280,1
3341,40,1800,Run_3341,25,8.00E-05,280,1
3353,80,1000,Run_3353,10,8.00E-05,280,1
3354,80,1000,Run_3354,10,1.00E-04,280,1
3376,80,1800,Run_3376,30,6.00E-05,280,1
3387,100,1000,Run_3387,12,4.00E-05,280,1
3389,100,1000,Run_3389,9,8.00E-05,280,1
3390,100,1000,Run_3390,8,1.00E-04,280,1
3391,100,1200,Run_3391,16,1.00E-05,280,1
3394,100,1200,Run_3394,15,6.00E-05,280,1
3399,100,1400,Run_3399,20,4.00E-05,280,1
3411,100,1800,Run_3411,34,4.00E-05,280,1
3423,120,1000,Run_3423,12,4.00E-05,280,1
3424,120,1000,Run_3424,10,6.00E-05,280,1
